week,brand,post_count,pos_count,neg_count,neu_count
2023-06-25,Lifeway,1,0,0,1
2023-07-16,Lifeway,1,1,0,0
2023-07-23,Fage,1,0,0,1
2023-07-30,Fage,1,0,0,1
2023-07-30,Lifeway,1,0,1,0
2023-08-06,Lifeway,1,0,0,1
2023-08-20,Chobani,1,1,0,0
2023-08-20,Fage,1,1,0,0
2023-08-20,Lifeway,1,0,0,1
2023-09-03,Chobani,2,1,0,1
2023-09-10,Fage,1,0,0,1
2023-09-10,Lifeway,1,0,0,1
2023-09-17,Chobani,2,1,0,1
2023-09-17,Lifeway,2,1,0,1
2023-09-24,Chobani,1,0,0,1
2023-10-08,Chobani,1,0,0,1
2023-10-08,Fage,1,0,0,1
2023-10-29,Lifeway,1,1,0,0
2023-11-05,Lifeway,1,1,0,0
2023-11-19,Chobani,1,0,0,1
2023-11-19,Siggi's,1,0,0,1
2023-11-26,Lifeway,1,1,0,0
2023-11-26,Maple Hill,1,1,0,0
2023-12-24,Lifeway,1,0,1,0
2023-12-31,Lifeway,1,1,0,0
2024-01-07,Lifeway,1,0,1,0
2024-01-07,Siggi's,1,1,0,0
2024-01-14,Chobani,1,1,0,0
2024-01-14,Fage,1,0,1,0
2024-01-14,Lifeway,1,1,0,0
2024-01-14,Siggi's,1,0,0,1
2024-01-21,Chobani,1,0,0,1
2024-01-28,Fage,1,0,0,1
2024-01-28,Lifeway,1,0,0,1
2024-01-28,Wallaby,1,1,0,0
2024-02-04,Chobani,2,1,0,1
2024-02-04,Fage,1,0,0,1
2024-02-04,Lifeway,2,0,0,2
2024-02-11,Chobani,1,0,0,1
2024-02-11,Lifeway,1,0,0,1
2024-02-25,Fage,2,0,0,2
2024-02-25,Lifeway,2,0,1,1
2024-03-03,Chobani,1,1,0,0
2024-03-03,Lifeway,1,0,0,1
2024-03-10,Chobani,1,0,0,1
2024-03-10,Lifeway,3,0,0,3
2024-03-17,Chobani,2,2,0,0
2024-03-17,Lifeway,1,0,0,1
2024-03-24,Lifeway,3,0,0,3
