date,close,volume
2023-06-05,6.0,11500
2023-06-06,6.0,9500
2023-06-07,6.0,3000
2023-06-08,6.9,81400
2023-06-09,6.5,8700
2023-06-12,6.9,13800
2023-06-13,6.87,13700
2023-06-14,6.94,9000
2023-06-15,7.0,12700
2023-06-16,6.88,21000
2023-06-20,7.41,31500
2023-06-21,7.39,14400
2023-06-22,7.08,3300
2023-06-23,6.98,7000
2023-06-26,6.85,9600
2023-06-27,6.78,2800
2023-06-28,6.52,10300
2023-06-29,6.59,8900
2023-06-30,6.55,4100
2023-07-03,6.25,4600
2023-07-05,6.4,7000
2023-07-06,6.38,3700
2023-07-07,6.5,4100
2023-07-10,6.47,21000
2023-07-11,6.33,14100
2023-07-12,6.47,5700
2023-07-13,6.48,6100
2023-07-14,6.31,3600
2023-07-17,6.11,5100
2023-07-18,6.3,11200
2023-07-19,6.28,1300
2023-07-20,6.12,3900
2023-07-21,6.0,19300
2023-07-24,5.93,43400
2023-07-25,5.84,6700
2023-07-26,5.97,17100
2023-07-27,5.93,2100
2023-07-28,6.01,10100
2023-07-31,6.52,17900
2023-08-01,6.41,9800
2023-08-02,6.65,12200
2023-08-03,6.85,12200
2023-08-04,7.0,15100
2023-08-07,7.0,11500
2023-08-08,6.8,2400
2023-08-09,6.74,6200
2023-08-10,6.55,19000
2023-08-11,6.3,11200
2023-08-14,7.5,118700
2023-08-15,8.18,69100
2023-08-16,8.56,80700
2023-08-17,8.6,24600
2023-08-18,8.34,50000
2023-08-21,9.59,239900
2023-08-22,9.99,261300
2023-08-23,10.61,171500
2023-08-24,10.83,175600
2023-08-25,11.02,160100
2023-08-28,10.73,209200
2023-08-29,10.82,114800
2023-08-30,10.7,75900
2023-08-31,10.75,49300
2023-09-01,10.99,132400
2023-09-05,11.25,202000
2023-09-06,11.53,131100
2023-09-07,11.57,137600
2023-09-08,11.2,94900
2023-09-11,10.27,287400
2023-09-12,11.1,284000
2023-09-13,12.0,172800
2023-09-14,12.49,192500
2023-09-15,12.0,122100
2023-09-18,11.83,64500
2023-09-19,12.35,77200
2023-09-20,12.47,91400
2023-09-21,12.05,89600
2023-09-22,12.42,79100
2023-09-25,9.65,297000
2023-09-26,10.72,136400
2023-09-27,10.38,65600
2023-09-28,10.61,47500
2023-09-29,10.34,37100
2023-10-02,11.03,122700
2023-10-03,10.77,47700
2023-10-04,11.6,60700
2023-10-05,11.7,74200
2023-10-06,11.83,51800
2023-10-09,10.73,111700
2023-10-10,11.47,56100
2023-10-11,10.82,70100
2023-10-12,10.84,41000
2023-10-13,10.9,75100
2023-10-16,11.83,101300
2023-10-17,11.83,65200
2023-10-18,11.27,39400
2023-10-19,11.93,48800
2023-10-20,11.29,73700
2023-10-23,11.43,99600
2023-10-24,12.53,120200
2023-10-25,11.7,115500
2023-10-26,11.37,65000
2023-10-27,11.67,66400
2023-10-30,12.07,146000
2023-10-31,10.67,182700
2023-11-01,10.87,104500
2023-11-02,10.54,45800
2023-11-03,10.64,61600
2023-11-06,11.66,118300
2023-11-07,12.64,125700
2023-11-08,12.76,158000
2023-11-09,12.16,89600
2023-11-10,12.61,105800
2023-11-13,9.38,850400
2023-11-14,13.0,653900
2023-11-15,14.6,450700
2023-11-16,14.98,314200
2023-11-17,14.68,146100
2023-11-20,15.4,240900
2023-11-21,15.4,117100
2023-11-22,15.47,97600
2023-11-24,17.09,167800
2023-11-27,14.97,283200
2023-11-28,14.4,171000
2023-11-29,14.01,102700
2023-11-30,14.06,75600
2023-12-01,14.89,81300
2023-12-04,14.5,84000
2023-12-05,14.27,60300
2023-12-06,13.39,90200
2023-12-07,13.26,98100
2023-12-08,12.86,43300
2023-12-11,12.48,193800
2023-12-12,12.51,105100
2023-12-13,12.76,69300
